Date,Name,Product,Version,Data,Scale,Variable,Status,Url
2019-10-22,QPan,ALEXI,v1,Evaporation,Daily,ETa,Pass,ftp://ftp.wateraccounting.unesco-ihe.org/WaterAccounting/Data_Satellite/Evaporation/ALEXI/World_05182018/EDAY_CERES_2005001.dat.gz
2019-10-22,QPan,ALEXI,v1,Evaporation,Weekly,ETa,Pass,ftp://ftp.wateraccounting.unesco-ihe.org/WaterAccounting/Data_Satellite/Evaporation/ALEXI/World/ALEXI_weekly_mm_008_2003.tif
2019-10-22,QPan,ASCAT,v3,SoilWaterIndex,Daily,SWI_010,Pass,https://land.copernicus.vgt.vito.be/PDF/datapool/Vegetation/Soil_Water_Index/Daily_SWI_12.5km_Global_V3/2007/01/01/SWI_200701011200_GLOBE_ASCAT_V3.1.1/c_gls_SWI_200701011200_GLOBE_ASCAT_V3.1.1.nc
2019-10-22,QPan,CFSR,v1,Radiation,Daily,dlwsfc,Pass,https://nomads.ncdc.noaa.gov/data/cfsr/197901/dlwsfc.gdas.197901.grb2
2019-10-22,QPan,CFSR,v2,Radiation,Daily,dlwsfc,Pass,https://nomads.ncdc.noaa.gov/modeldata/cfsv2_analysis_timeseries/2011/201104/dlwsfc.gdas.201104.grib2
2019-10-22,QPan,CHIRPS,v2,Precipitation,Daily,PCP,Pass,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/global_daily/tifs/p05/1981/chirps-v2.0.1981.01.01.tif.gz
2019-10-22,QPan,CHIRPS,v2,Precipitation,Monthly,PCP,Pass,ftp://chg-ftpout.geog.ucsb.edu/pub/org/chg/products/CHIRPS-2.0/global_monthly/tifs/chirps-v2.0.1981.01.tif.gz
2019-10-22,QPan,CMRSET,v1,Evaporation,Monthly,Pass,ftp://ftp.wateraccounting.unesco-ihe.org/WaterAccounting/Data_Satellite/Evaporation/CMRSET/Global/M01CMRSETGlobalY2000M01.tif
2019-10-22,QPan,DEM,v1,DEM,3s,af,Pass,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/hydrosheds/sa_dem_3s_grid/AF/n00e005_dem_grid.zip
2019-10-22,QPan,DEM,v1,DEM,15s,af,Pass,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/hydrosheds/sa_15s_zip_grid/af_dem_15s_grid.zip
2019-10-22,QPan,DEM,v1,DEM,30s,af,Pass,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/hydrosheds/sa_30s_zip_bil/af_dem_30s_bil.zip
2019-10-22,QPan,DEM,v1,DIR,3s,af,Pass,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/hydrosheds/sa_dir_3s_zip_grid/AF/n00e005_dir_grid.zip
2019-10-22,QPan,DEM,v1,DIR,15s,af,Pass,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/hydrosheds/sa_15s_zip_grid/af_dir_15s_grid.zip
2019-10-22,QPan,DEM,v1,DIR,30s,af,Pass,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/hydrosheds/sa_30s_zip_bil/af_dir_30s_bil.zip

2019-11-26,QPan,ETmonitor,v1,Evapotranspiration,monthly,Ei,Pass,ftp://ftp.wateraccounting.unesco-ihe.org/WaterAccounting/Data_Satellite/Evaporation/ETmonitor/Global/Ei_ETmonitor_mm-month_2008_01_01.tif
2019-11-26,QPan,FEWS,v4,Evaporation,daily,ETp,Pass,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/fews/web/global/daily/pet/downloads/daily/et010101.tar.gz
