Sinusoidal Grid
 Gring Coordinates of MODLAND Tiles
 ntile_vert = 18
 ntile_horiz = 36
 iv  ih  0: ll lon    ll lat  1: ul lon    ul lat  2: ur lon    ur lat  3: lr lon    lr lat
  0   0  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   1  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   2  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   3  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   4  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   5  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   6  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   7  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   8  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0   9  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0  10  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0  11  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0  12  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0  13  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
  0  14  -179.9930   79.9805   179.8480   80.4067  -172.6111   80.4067  -172.7701   79.9805
  0  15  -173.5192   78.5394   168.4872   82.3788  -101.0578   82.9564  -118.1748   78.9215
  0  16  -121.2405   77.8578  -179.7449   83.1182     8.0124   85.2174   -60.5907   78.9289
  0  17   -58.2079   78.5532  -145.4034   83.7812    91.4468   84.4840    -3.0099   78.9234
  0  18     3.0254   78.9248   -91.5364   84.4829   145.4231   83.7674    58.2586   78.5476
  0  19    60.5906   78.9290    -8.0183   85.2174   179.7442   83.1075   121.2825   77.8518
  0  20   118.1748   78.9214   101.0577   82.9564  -168.4625   82.3753   173.5406   78.5370
  0  21   172.7700   79.9807   172.6117   80.4071  -179.8503   80.4067   179.9899   79.9803
  0  22  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000  -999.0000  -99.0000
